Time;chgVoltage;chgSense;batVoltage
0;0;0;0
0.0;27.19;2.28;26.02
6.001;27.11;2.26;26.37
12.001;27.09;2.26;26.56
18.001;27.09;2.27;26.69
24.001;27.09;2.27;26.77
30.003;27.1;2.27;26.81
36.005;27.11;2.27;26.85
42.005;27.11;2.26;26.87
48.005;27.13;2.26;26.9
54.012;27.14;2.27;26.9
60.013;27.15;2.27;26.92
66.013;27.19;2.27;26.95
72.013;27.15;2.26;26.92
78.013;27.15;2.26;26.91
84.013;27.15;2.27;26.92
90.013;27.15;2.26;26.93
96.015;27.17;2.26;26.94
102.017;27.17;2.26;26.96
108.025;27.18;2.26;26.96
114.025;27.17;2.27;26.94
120.025;27.13;2.27;26.9
126.025;27.11;2.27;26.88
132.025;27.1;2.26;26.87
138.025;27.09;2.26;26.86
144.025;27.09;2.27;26.86
150.025;27.09;2.27;26.86
156.028;27.1;2.27;26.87
162.028;27.11;2.27;26.87
168.03;27.14;2.27;26.9
174.037;27.14;2.28;26.9
180.038;27.11;2.28;26.87
186.038;27.07;2.27;26.84
192.038;27.1;2.26;26.85
198.048;27.16;2.27;26.92
204.049;27.22;2.28;27.0
210.052;27.26;2.28;27.03
216.052;27.23;2.28;27.0
222.053;27.13;2.27;26.91
228.06;27.11;2.26;26.89
234.06;27.11;2.26;26.88
240.06;27.07;2.26;26.84
246.062;27.08;2.27;26.85
252.062;27.08;2.27;26.85
258.063;27.07;2.26;26.84
264.066;27.07;2.25;26.83
270.066;27.07;2.25;26.85
276.066;27.07;2.26;26.85
282.066;27.09;2.27;26.85
288.066;27.09;2.27;26.86
294.066;27.08;2.27;26.86
300.067;27.08;2.26;26.87
306.073;27.09;2.26;26.85
312.073;27.11;2.27;26.88
318.073;27.11;2.27;26.9
324.074;27.11;2.27;26.88
330.074;27.09;2.27;26.89
336.074;27.09;2.27;26.87
342.074;27.1;2.27;26.87
348.074;27.1;2.28;26.87
354.074;27.11;2.28;26.88
360.075;27.09;2.27;26.87
366.076;27.09;2.26;26.87
372.076;27.09;2.26;26.87
378.076;27.11;2.27;26.88
384.076;27.11;2.28;26.89
390.076;27.12;2.28;26.9
396.076;27.12;2.27;26.9
402.088;27.12;2.27;26.9
408.089;27.12;2.27;26.89
