Time;perimeterMag;perimeterMagRight
0;0;0
0.0;-87.0;0.0
0.0;-87.0;0.0
0.0;-577.0;0.0
0.0;-505.0;0.0
0.0;-864.0;0.0
0.0;-374.0;0.0
0.0;2214.0;0.0
0.0;2010.0;0.0
0.0;-523.0;0.0
0.0;1461.0;0.0
0.0;-101.0;0.0
0.0;-101.0;0.0
0.0;107.0;0.0
0.0;-110.0;0.0
0.0;-110.0;0.0
0.0;-110.0;0.0
0.0;111.0;0.0
0.0;84.0;0.0
0.0;84.0;0.0
0.0;84.0;0.0
0.0;84.0;0.0
0.0;-86.0;0.0
0.0;89.0;0.0
0.0;89.0;0.0
0.0;89.0;0.0
0.0;89.0;0.0
0.0;0.0;0.0
0.0;101.0;0.0
0.0;101.0;0.0
0.0;101.0;0.0
0.0;101.0;0.0
0.0;101.0;0.0
0.0;101.0;0.0
0.0;101.0;0.0
0.0;-91.0;0.0
0.0;-91.0;0.0
0.0;-91.0;0.0
0.0;-91.0;0.0
0.0;105.0;0.0
0.0;105.0;0.0
0.0;101.0;0.0
0.0;-78.0;0.0
0.0;84.0;0.0
0.0;95.0;0.0
0.0;-100.0;0.0
0.0;-100.0;0.0
0.0;-100.0;0.0
0.0;-100.0;0.0
0.0;-100.0;0.0
0.0;101.0;0.0
0.0;101.0;0.0
0.0;-99.0;0.0
0.0;-99.0;0.0
0.0;-99.0;0.0
0.0;-99.0;0.0
0.0;103.0;0.0
0.0;-81.0;0.0
0.0;-81.0;0.0
0.0;-141.0;0.0
0.0;-141.0;0.0
0.0;-141.0;0.0
0.0;-135.0;0.0
0.0;-320.0;0.0
0.0;-635.0;0.0
0.0;-1427.0;0.0
0.0;72.0;0.0
0.0;72.0;0.0
0.0;88.0;0.0
0.0;88.0;0.0
0.0;88.0;0.0
0.0;87.0;0.0
0.0;-89.0;0.0
0.0;-89.0;0.0
0.0;-89.0;0.0
0.0;-89.0;0.0
0.0;-89.0;0.0
0.0;-89.0;0.0
0.0;-89.0;0.0
0.0;-89.0;0.0
0.0;88.0;0.0
0.0;-79.0;0.0
0.0;-79.0;0.0
0.0;-79.0;0.0
0.0;-79.0;0.0
0.0;-88.0;0.0
0.0;100.0;0.0
0.0;100.0;0.0
0.0;124.0;0.0
0.0;0.0;0.0
0.0;-93.0;0.0
0.0;-93.0;0.0
0.0;115.0;0.0
0.0;115.0;0.0
0.0;115.0;0.0
0.0;-88.0;0.0
0.0;-88.0;0.0
0.0;-1881.0;0.0
0.0;-73.0;0.0
0.0;-73.0;0.0
0.0;-91.0;0.0
0.0;-91.0;0.0
0.0;-107.0;0.0
0.0;114.0;0.0
0.0;114.0;0.0
0.0;-113.0;0.0
0.0;118.0;0.0
0.0;118.0;0.0
0.0;-114.0;0.0
0.0;-114.0;0.0
0.0;-114.0;0.0
0.0;-114.0;0.0
0.0;-81.0;0.0
0.0;306.0;0.0
0.0;-913.0;0.0
0.0;-743.0;0.0
0.0;128.0;0.0
0.0;-107.0;0.0
0.0;-107.0;0.0
0.0;-103.0;0.0
0.0;-103.0;0.0
0.0;-89.0;0.0
0.0;-89.0;0.0
0.0;-85.0;0.0
0.0;-85.0;0.0
0.0;-1566.0;0.0
0.0;-127.0;0.0
0.0;-831.0;0.0
0.0;-1209.0;0.0
0.0;187.0;0.0
0.0;164.0;0.0
0.0;192.0;0.0
0.0;233.0;0.0
0.0;209.0;0.0
0.0;-1063.0;0.0
0.0;-138.0;0.0
0.0;-134.0;0.0
0.0;-115.0;0.0
0.0;96.0;0.0
0.0;92.0;0.0
0.0;110.0;0.0
0.0;-98.0;0.0
0.0;-153.0;0.0
0.0;-85.0;0.0
0.0;-85.0;0.0
0.0;142.0;0.0
0.0;-571.0;0.0
0.0;-665.0;0.0
0.0;-577.0;0.0
0.0;-124.0;0.0
0.0;-111.0;0.0
0.0;126.0;0.0
0.0;112.0;0.0
0.0;-936.0;0.0
0.0;139.0;0.0
0.0;0.0;0.0
0.0;-2053.0;0.0
0.0;1359.0;0.0
0.0;-1287.0;0.0
0.0;-108.0;0.0
0.0;-98.0;0.0
0.0;-112.0;0.0
0.0;101.0;0.0
0.0;82.0;0.0
0.0;82.0;0.0
0.0;82.0;0.0
0.0;82.0;0.0
0.0;94.0;0.0
0.0;216.0;0.0
0.0;-101.0;0.0
0.0;-85.0;0.0
0.0;104.0;0.0
0.0;-89.0;0.0
0.0;212.0;0.0
0.0;204.0;0.0
0.0;172.0;0.0
0.0;257.0;0.0
0.0;245.0;0.0
0.0;-151.0;0.0
0.0;-1003.0;0.0
0.0;-387.0;0.0
0.0;-169.0;0.0
0.0;-1055.0;0.0
0.0;-483.0;0.0
0.0;-90.0;0.0
0.0;-487.0;0.0
0.0;106.0;0.0
0.0;-115.0;0.0
0.0;-51.0;0.0
0.0;-51.0;0.0
0.0;-137.0;0.0
0.0;113.0;0.0
0.0;184.0;0.0
0.0;-330.0;0.0
0.0;-2002.0;0.0
0.0;-353.0;0.0
0.0;-238.0;0.0
0.0;-81.0;0.0
0.0;-131.0;0.0
0.0;355.0;0.0
0.0;103.0;0.0
0.0;-106.0;0.0
0.0;35.0;0.0
0.0;-746.0;0.0
0.0;87.0;0.0
0.0;128.0;0.0
0.0;98.0;0.0
0.0;-146.0;0.0
0.0;38.0;0.0
0.0;-190.0;0.0
0.0;-714.0;0.0
0.0;-241.0;0.0
0.0;51.0;0.0
0.0;-854.0;0.0
0.0;-146.0;0.0
0.0;86.0;0.0
0.0;111.0;0.0
0.0;-138.0;0.0
0.0;-1858.0;0.0
